Country_ID,Weighted_Frequency
AFG,0
AGO,2.005322217
ALB,1.002390405
ALG,29.12205603
ARG,22.06969941
ARM,0
AUS,42.49433459
AUT,10.03856304
AZE,32.20921966
BAR,6.014331276
BDI,0
BEL,22.09379871
BEN,8.018982892
BFA,39.2313659
BGD,9.022760515
BGR,0
BHR,7.01577276
BHS,19.09641433
BHU,0
BIH,5.013034836
BLR,0
BLZ,39.15304321
BOL,42.26437497
BRA,4.00893339
BRN,22.05487732
BWA,33.15876829
CAF,33.124355
CAN,36.33860541
CBV,0
CDI,25.06506181
CHL,42.47093778
CHN,0
CMR,36.12844862
COD,28.07356783
COG,9.022471435
COL,42.29951951
CRI,0
CRO,19.06607119
CUB,38.13330358
CYP,2.005362411
CZE,6.023901494
DEU,22.15557518
DJI,15.03923855
DNK,19.15968604
DOM,17.0458666
ECU,0
EGY,1.002739887
ERT,0
ESA,39.1288548
ESP,14.04952119
EST,1.003008652
ESW,42.20378261
ETH,30.10137654
FIN,0
FRA,37.17378002
FSM,0
GAB,23.06571941
GBR,35.27097822
GEO,0
GHA,33.10299074
GIN,36.12238623
GMB,1.002638961
GNB,13.03239668
GNQ,0
GRC,2.005075665
GUA,42.28931925
GUY,0
HAI,42.3339856
HND,21.06131104
HUN,6.033183038
ICL,9.027807016
IDN,34.10314219
IND,28.09663246
IRL,14.04067313
IRN,19.07195283
IRQ,22.09069073
ISR,1.002095009
ITA,6.023910381
JAM,41.12697756
JOR,3.009515861
JPN,32.13224539
KAZ,31.32536793
KEN,42.29445992
KGZ,42.41038284
KHM,24.07780015
KWT,26.08544216
LAO,2.005283273
LBN,1.002043893
LBR,0
LBY,23.07907391
LKA,12.03601028
LSO,7.019239861
LTU,1.00383463
LUX,23.16061381
LVA,1.003449688
MAR,18.06536259
MDA,1.003140931
MDG,0
MEX,42.40760658
MKD,7.021912957
MLI,32.09859792
MMR,7.01991874
MNE,0
MNG,43
MOZ,11.0365647
MRT,31.115048
MUS,0
MWI,1.002517273
MYS,38.10556936
NAM,36.19748154
NER,40.20821537
NGA,0
NIC,41.18849465
NKO,2.005303143
NLD,18.06778986
NOR,17.06481219
NPL,0
NZL,37.2472793
OMN,18.06447367
PAK,42.57232134
PAN,15.04023477
PER,42.50572603
PHL,16.04975163
PNG,0
POL,7.033483427
PRT,8.028465072
PRY,40.1436463
PSE,1.002095009
QAT,1.002519255
ROU,10.03150151
RUS,6.023683971
RWA,0
SAF,29.10514743
SAU,32.13043816
SDN,37.13073969
SEN,22.06629186
SKO,18.05247786
SLB,1.002182115
SLE,18.04602661
SOM,25.07181451
SRB,6.01986571
SSD,42.78146388
SUI,42.3215612
SUR,21.05504787
SVK,1.003831153
SVN,22.08231845
SWE,13.04917482
SYC,1.002214433
SYR,3.011512078
TCD,26.07741335
TGO,0
THA,20.06244875
TJK,16.0542051
TKM,38.19381084
TLS,0
TTO,23.07045697
TUN,35.12850398
TUR,3.01023832
TZA,29.10000973
UAE,24.08554065
UGA,42.17065186
UKR,0
URY,15.04500155
USA,22.08242706
UZB,10.03427991
VEN,41.21147646
VNM,42.42623926
YEM,0
ZMB,2.00434811
ZWE,1.002821381